PrYVO_05,intensity,PrYVO_05_90,intensity
19.02031409,1608,19.02031409,1822
19.04657466,1651,19.04657466,1771
19.07283523,1564,19.07283523,1773
19.0990958,1556,19.0990958,1802
19.12535637,1615,19.12535637,1773
19.15161694,1638,19.15161694,1746
19.17787751,1614,19.17787751,1650
19.20413808,1639,19.20413808,1741
19.23039865,1627,19.23039865,1673
19.25665922,1536,19.25665922,1797
19.28291979,1547,19.28291979,1748
19.30918036,1568,19.30918036,1743
19.33544093,1553,19.33544093,1756
19.3617015,1613,19.3617015,1730
19.38796207,1575,19.38796207,1712
19.41422264,1557,19.41422264,1788
19.44048321,1596,19.44048321,1667
19.46674378,1574,19.46674378,1694
19.49300435,1623,19.49300435,1705
19.51926492,1494,19.51926492,1674
19.54552549,1616,19.54552549,1725
19.57178606,1600,19.57178606,1708
19.59804663,1540,19.59804663,1757
19.6243072,1551,19.6243072,1731
19.65056777,1524,19.65056777,1731
19.67682834,1543,19.67682834,1824
19.70308891,1500,19.70308891,1681
19.72934948,1561,19.72934948,1690
19.75561005,1499,19.75561005,1723
19.78187062,1495,19.78187062,1694
19.80813119,1458,19.80813119,1718
19.83439176,1474,19.83439176,1766
19.86065233,1592,19.86065233,1760
19.8869129,1576,19.8869129,1677
19.91317347,1513,19.91317347,1723
19.93943404,1459,19.93943404,1751
19.96569461,1489,19.96569461,1745
19.99195518,1522,19.99195518,1737
20.01821575,1578,20.01821575,1785
20.04447632,1533,20.04447632,1804
20.07073689,1580,20.07073689,1808
20.09699746,1488,20.09699746,1814
20.12325803,1507,20.12325803,1784
20.1495186,1468,20.1495186,1780
20.17577917,1448,20.17577917,1714
20.20203974,1457,20.20203974,1710
20.22830031,1519,20.22830031,1722
20.25456088,1571,20.25456088,1748
20.28082145,1454,20.28082145,1796
20.30708202,1517,20.30708202,1725
20.33334259,1512,20.33334259,1768
20.35960316,1504,20.35960316,1744
20.38586373,1463,20.38586373,1726
20.4121243,1467,20.4121243,1749
20.43838487,1472,20.43838487,1644
20.46464544,1506,20.46464544,1661
20.49090601,1520,20.49090601,1754
20.51716658,1504,20.51716658,1791
20.54342715,1433,20.54342715,1752
20.56968772,1537,20.56968772,1807
20.59594829,1439,20.59594829,1868
20.62220886,1439,20.62220886,1755
20.64846943,1468,20.64846943,1909
20.67473,1408,20.67473,2022
20.70099057,1420,20.70099057,1863
20.72725114,1477,20.72725114,1794
20.75351171,1522,20.75351171,1746
20.77977228,1416,20.77977228,1781
20.80603285,1454,20.80603285,1763
20.83229342,1378,20.83229342,1784
20.85855399,1473,20.85855399,1704
20.88481456,1475,20.88481456,1741
20.91107513,1438,20.91107513,1700
20.9373357,1425,20.9373357,1708
20.96359627,1437,20.96359627,1628
20.98985684,1438,20.98985684,1714
21.01611741,1451,21.01611741,1761
21.04237798,1338,21.04237798,1654
21.06863855,1424,21.06863855,1731
21.09489912,1541,21.09489912,1712
21.12115969,1418,21.12115969,1780
21.14742026,1440,21.14742026,1728
21.17368083,1447,21.17368083,1654
21.1999414,1428,21.1999414,1698
21.22620197,1408,21.22620197,1689
21.25246254,1419,21.25246254,1776
21.27872311,1401,21.27872311,1700
21.30498368,1416,21.30498368,1709
21.33124425,1374,21.33124425,1720
21.35750482,1396,21.35750482,1711
21.38376539,1363,21.38376539,1732
21.41002596,1336,21.41002596,1728
21.43628653,1475,21.43628653,1715
21.4625471,1332,21.4625471,1685
21.48880767,1462,21.48880767,1672
21.51506824,1355,21.51506824,1651
21.54132881,1359,21.54132881,1651
21.56758938,1381,21.56758938,1704
21.59384995,1310,21.59384995,1790
21.62011052,1419,21.62011052,1700
21.64637109,1374,21.64637109,1718
21.67263166,1368,21.67263166,1701
21.69889223,1390,21.69889223,1653
21.7251528,1387,21.7251528,1674
21.75141337,1327,21.75141337,1726
21.77767394,1303,21.77767394,1717
21.80393451,1331,21.80393451,1749
21.83019508,1319,21.83019508,1786
21.85645565,1395,21.85645565,1726
21.88271622,1411,21.88271622,1635
21.90897679,1390,21.90897679,1714
21.93523736,1324,21.93523736,1781
21.96149793,1372,21.96149793,1665
21.9877585,1387,21.9877585,1730
22.01401907,1361,22.01401907,1765
22.04027964,1308,22.04027964,1790
22.06654021,1381,22.06654021,1799
22.09280078,1336,22.09280078,1661
22.11906135,1345,22.11906135,1789
22.14532192,1310,22.14532192,1830
22.17158249,1311,22.17158249,1750
22.19784306,1368,22.19784306,1836
22.22410363,1373,22.22410363,1875
22.2503642,1269,22.2503642,1921
22.27662477,1304,22.27662477,2116
22.30288534,1353,22.30288534,2228
22.32914591,1330,22.32914591,2436
22.35540648,1310,22.35540648,2875
22.38166705,1314,22.38166705,3641
22.40792762,1228,22.40792762,4519
22.43418819,1385,22.43418819,7726
22.46044876,1322,22.46044876,14424
22.48670933,1280,22.48670933,15513
22.5129699,1329,22.5129699,17810
